candidate_id,job_id,education_level,years_experience,num_relevant_skills,skills,internal_referral,interview_score,technical_test_score,soft_skill_score,hiring_eligibility
1,4901,Master,17,2,"Cloud Computing, Python",No,1.47,5.53,7.3,Not Eligible
2,2804,Bachelor,19,3,"Leadership, Machine Learning",No,8.46,7.27,7.57,Eligible
3,3634,Bachelor,6,3,"Python, SQL, Data Visualization",Yes,8.62,6.88,5.47,Eligible
4,1218,Master,1,4,"SQL, Data Visualization",No,7.78,1.07,8.54,Not Eligible
5,526,Bachelor,9,3,"Excel, Communication, Python",Yes,7.94,1.75,4.33,Eligible
6,281,Master,0,1,"Python, Data Visualization",No,2.93,7.85,8.68,Not Eligible
7,3420,Bachelor,18,1,"SQL, Data Visualization",Yes,1.98,2.45,6.13,Not Eligible
8,3824,Bachelor,18,4,"Machine Learning, Leadership",No,2.44,7.93,1.38,Eligible
9,2568,Bachelor,1,2,"Leadership, Communication, SQL",Yes,6.75,8.34,5.06,Eligible
10,1722,Bachelor,14,3,"Excel, SQL",No,4.58,9.41,8.36,Eligible
11,1784,Bachelor,16,2,"Data Visualization, Excel, Communication",No,1.14,8.33,3.38,Not Eligible
12,501,PhD,2,2,"Data Visualization, SQL, Machine Learning, Leadership",Yes,9.55,5.8,7.41,Eligible
13,84,Bachelor,6,3,"Leadership, Machine Learning, Python, Cloud Computing",No,3.07,2.9,5.06,Not Eligible
14,3341,Bachelor,18,2,"Communication, Excel, Python",No,1.04,2.16,3.79,Not Eligible
15,34,Master,11,1,"Leadership, Data Visualization, Cloud Computing",No,4.46,8.87,9,Not Eligible
16,4570,Master,13,4,"Cloud Computing, Excel, Python",No,2.92,4.51,5.32,Not Eligible
17,3941,Bachelor,16,1,"Cloud Computing, SQL",Yes,4.32,1.47,7.79,Not Eligible
18,1198,Master,18,3,Python,No,9.45,4.13,5.17,Eligible
19,3800,Master,4,3,"Excel, Data Visualization, Communication, SQL",No,6.59,8.82,3.74,Not Eligible
20,3445,Bachelor,7,3,SQL,No,6.81,6.06,9.28,Not Eligible
21,4053,Bachelor,8,3,"SQL, Leadership, Data Visualization",No,8.95,6.77,2.22,Not Eligible
22,2554,Master,1,2,"Cloud Computing, Excel",No,2.02,3.28,6.23,Not Eligible
23,4056,Bachelor,14,2,SQL,No,1.9,1.18,2.77,Not Eligible
24,4296,PhD,19,4,"Python, Cloud Computing",No,8.7,9.25,2.04,Eligible
25,3033,Bachelor,15,3,"Machine Learning, Python, Communication, Data Visualization",No,2.43,1.67,1.86,Not Eligible
26,4200,Master,16,3,"SQL, Python, Leadership, Excel",No,7.61,9.99,7.91,Eligible
27,3758,Bachelor,9,2,Cloud Computing,No,2.88,8.82,3.35,Not Eligible
28,837,Bachelor,11,2,"Cloud Computing, Leadership, Machine Learning, Excel",No,5.27,2.04,6.12,Not Eligible
29,3855,Master,8,1,Python,No,4.47,9.99,5.43,Not Eligible
30,1578,PhD,12,4,Communication,No,1.93,8.27,8.82,Eligible
31,3128,Bachelor,1,2,"Data Visualization, SQL, Python, Leadership",No,7.04,8.63,7.89,Not Eligible
32,2731,Master,5,4,"Leadership, Machine Learning, Excel",No,8.69,8.29,7.25,Eligible
33,3666,Bachelor,2,3,"Leadership, Data Visualization, Machine Learning",No,1.89,9.36,9.12,Not Eligible
34,1990,Bachelor,16,3,"Cloud Computing, Excel",Yes,4.22,7.81,6.27,Eligible
35,1910,Bachelor,13,1,"Cloud Computing, Python, Data Visualization, Machine Learning",No,1.26,5.74,8.31,Not Eligible
36,69,Master,10,1,"Data Visualization, Cloud Computing, Python, Excel",No,3.12,1,8.68,Not Eligible
37,1678,Master,5,1,"Communication, Data Visualization, Machine Learning, Excel",No,3.34,3.51,8.23,Not Eligible
38,1228,Bachelor,4,2,"SQL, Data Visualization",No,8.35,6.4,4.4,Not Eligible
39,2345,Bachelor,8,4,"SQL, Excel",Yes,7.77,3.81,8.25,Eligible
40,3259,Bachelor,9,2,"Data Visualization, Leadership, Python",Yes,8.48,4.69,5.72,Eligible
41,2098,Master,11,3,"Data Visualization, Excel, Communication",Yes,1.72,1.97,4.08,Not Eligible
42,4298,Bachelor,12,3,"Machine Learning, Cloud Computing",No,2.2,9.82,2.84,Eligible
43,423,Bachelor,9,1,Cloud Computing,No,3.74,2.03,7.24,Not Eligible
44,1327,Master,0,1,"Machine Learning, Leadership, Python",No,7.7,1.64,3.74,Not Eligible
45,1150,Bachelor,6,4,Cloud Computing,No,1.23,6.26,3.38,Not Eligible
46,3802,Master,12,2,"SQL, Data Visualization",Yes,2.34,6.59,6.33,Not Eligible
47,4013,Bachelor,18,3,SQL,No,5.48,5.72,3.31,Not Eligible
