candidate_id,job_id,education_level,years_experience,num_relevant_skills,skills,internal_referral,interview_score,technical_test_score,soft_skill_score
CAND-0001,JOB-002,Bachelor,9,1,"Python, Machine Learning, SQL, Excel",No,1.38,5.25,1.43
CAND-0002,JOB-004,Bachelor,11,4,"SQL, Data Visualization, Communication",No,8.1,1.82,8.57
CAND-0003,JOB-005,Bachelor,6,3,Machine Learning,No,2.67,2.53,8.18
CAND-0004,JOB-004,Bachelor,2,4,Excel,No,3.87,6.28,9.43
CAND-0005,JOB-001,Bachelor,3,4,"Data Visualization, Communication, Python",Yes,3.87,2.41,4.21
CAND-0006,JOB-002,PhD,12,1,"Python, Data Visualization, Excel, SQL",No,3.97,2.82,8.03
CAND-0007,JOB-004,Master,19,4,"Cloud Computing, Communication, Excel",No,5.27,3.1,3.59
CAND-0008,JOB-003,Bachelor,1,3,"Data Visualization, Python, Leadership, Cloud Computing",Yes,9.86,9.75,9.96
CAND-0009,JOB-002,Bachelor,13,3,"Leadership, Cloud Computing, Excel",No,1.33,7.6,1.58
CAND-0010,JOB-004,Master,17,1,Communication,No,1.22,2.4,1.55
CAND-0011,JOB-003,Bachelor,10,2,"Excel, Machine Learning",No,1.77,3.66,5.85
CAND-0012,JOB-001,PhD,2,3,Python,Yes,6.57,5.6,1.34
CAND-0013,JOB-003,Bachelor,14,2,"Excel, SQL",No,5.58,6.39,6.46
CAND-0014,JOB-003,PhD,18,4,"Excel, Leadership, Communication",No,6.1,1.54,9.31
CAND-0015,JOB-004,Bachelor,9,3,"Cloud Computing, Python",No,6.54,5.63,1.93
CAND-0016,JOB-003,Bachelor,0,1,Cloud Computing,No,3.11,2.75,8.63
CAND-0017,JOB-003,Bachelor,10,3,"Leadership, Machine Learning, Data Visualization, Python",Yes,1.3,5.38,5.05
CAND-0018,JOB-002,Bachelor,1,1,SQL,No,6.11,2.07,3.01
CAND-0019,JOB-004,Master,19,2,Communication,Yes,6.28,4.82,4.07
CAND-0020,JOB-001,Master,3,4,"Data Visualization, Leadership, Cloud Computing",No,2.67,8.43,6.58
CAND-0021,JOB-004,Master,2,1,SQL,No,2.29,6.21,6.18
CAND-0022,JOB-001,Bachelor,12,2,"Cloud Computing, SQL",Yes,3.44,1.69,9.14
CAND-0023,JOB-002,Master,19,4,"SQL, Cloud Computing, Data Visualization, Python",Yes,9.19,7.27,4.31
CAND-0024,JOB-001,Master,9,3,Cloud Computing,No,3.35,4.37,3.19
CAND-0025,JOB-001,PhD,5,1,"Excel, Communication",Yes,7.83,2.44,1.56
CAND-0026,JOB-005,Bachelor,18,4,Cloud Computing,Yes,2.98,3.58,6.55
CAND-0027,JOB-005,Bachelor,6,3,Excel,No,6.84,5.46,3.61
CAND-0028,JOB-002,Master,2,4,"Leadership, Machine Learning",No,3.15,5.65,7.61
CAND-0029,JOB-001,Bachelor,9,2,"Leadership, Excel",No,6.76,9.05,5.61
CAND-0030,JOB-002,Master,6,3,"Excel, SQL, Cloud Computing, Python",Yes,1.97,3.62,3.55
CAND-0031,JOB-001,Bachelor,3,1,Leadership,Yes,3.12,7.5,1.17
CAND-0032,JOB-002,Bachelor,11,1,"Cloud Computing, Excel, Python, Communication",No,3.22,1.7,7.58
CAND-0033,JOB-004,Bachelor,17,4,"Communication, Excel, Leadership, Python",No,7.24,4.56,8.03
CAND-0034,JOB-002,Bachelor,1,4,"SQL, Cloud Computing, Data Visualization",No,7.62,2.58,1.64
CAND-0035,JOB-002,Bachelor,17,2,SQL,Yes,6.04,5.89,3.03
CAND-0036,JOB-001,Master,17,4,Data Visualization,No,5.46,8.72,8.58
CAND-0037,JOB-005,Master,1,1,"Cloud Computing, Communication",No,4.2,4.38,4.19
